Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10147","","","None","localhost","tcp","1241","Nessus Server Detection","A Nessus daemon is listening on the remote port.","A Nessus daemon is listening on the remote port.","Ensure that the remote Nessus installation has been authorized.","http://www.tenable.com/products/nessus-vulnerability-scanner",""
"10147","","","None","localhost","tcp","8834","Nessus Server Detection","A Nessus daemon is listening on the remote port.","A Nessus daemon is listening on the remote port.","Ensure that the remote Nessus installation has been authorized.","http://www.tenable.com/products/nessus-vulnerability-scanner","
  URL               : https://localhost:8834/
  Version           : 6.5.6
  Nessus UI Version : 6.5.6
"
"10150","","","None","localhost","tcp","445","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 2 NetBIOS names have been gathered :

 ASIASTEVE-PC     = Computer name
 ASIASTEVE-PC     = Workgroup / Domain name
"
"10185","","","None","localhost","tcp","12110","POP Server Detection","A POP server is listening on the remote port.","The remote host is running a server that understands the Post Office
Protocol (POP), used by email clients to retrieve messages from a
server, possibly across a network link.","Disable this service if you do not use it.","http://en.wikipedia.org/wiki/Post_Office_Protocol","
Remote POP server banner :

+OK avast! POP3 proxy ready.
"
"10263","","","None","localhost","tcp","12025","SMTP Server Detection","An SMTP server is listening on the remote port.","The remote host is running a mail (SMTP) server on this port. 

Since SMTP servers are the targets of spammers, it is recommended you
disable it if you do not use it.","Disable this service if you do not use it, or filter incoming traffic
to this port.","","
Remote SMTP server banner :

220 AsiaStevePC avast! SMTP proxy ready.
"
"10394","","","None","localhost","tcp","445","Microsoft Windows SMB Log In Possible","It was possible to log into the remote host.","The remote host is running a Microsoft Windows operating system or
Samba, a CIFS/SMB server for Unix. It was possible to log into it
using one of the following accounts :

- NULL session
- Guest account
- Supplied credentials","n/a","http://support.microsoft.com/kb/143474
http://support.microsoft.com/kb/246261","- NULL sessions are enabled on the remote host.
- The SMB tests will be done as Administrator/******
"
"10395","","","None","localhost","tcp","445","Microsoft Windows SMB Shares Enumeration","It is possible to enumerate remote network shares.","By connecting to the remote host, Nessus was able to enumerate the
network share names.","n/a","","
Here are the SMB shares available on the remote host when logged in as Administrator:

  - ADMIN$
  - C$
  - Canon MP540 series Printer
  - IPC$
  - print$
  - Users
"
"10396","CVE-1999-0519","","None","localhost","tcp","445","Microsoft Windows SMB Shares Access","It is possible to access a network share.","The remote has one or more Windows shares that can be accessed through
the network with the given credentials.

Depending on the share rights, it may allow an attacker to read /
write confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","","
The following shares can be accessed  :

- Users  - (readable,writable)
  + Content of this share :
..
Admin
Admin.LOG1
Admin.LOG2
All Users
AsiaSteve.LOG1
AsiaSteve.LOG2
Default
Default User
Default.migrated
DefaultAppPool
desktop.ini
Family
HomeAdministrator
Mcx1-ASIASTEVE-PC
Mcx1-ASIASTEVE-PC.LOG1
Mcx1-ASIASTEVE-PC.LOG2
Public
sshd
Steves Work

- ADMIN$  - (readable,writable)
  + Content of this share :
..
addins
appcompat
AppPatch
AppReadiness
assembly
avastSS.scr
bcastdvr
bfsvc.exe
Boot
bootstat.dat
Branding
CbsTemp
comsetup.log
Core.xml
csup.txt
Cursors
de
de-DE
debug
DesktopTileResources
DevicesFlow
diagerr.xml
diagnostics
diagwrn.xml
DigitalLocker
DirectX.log
Downloaded Program Files
DtcInstall.log
ehome
ELAMBKUP
en
en-US
explorer.exe
Fonts
fr
fr-FR
Globalization
Help
HelpPane.exe
hh.exe
iis.log
IME
ImmersiveControlPanel
INF
InfusedApps
InputMethod
Installer
it-IT
L2Schemas
LiveKernelReports
Logs
Media
mib.bin
Microsoft.NET
Migration
MiracastView
ModemLogs
msdfmap.ini
nl
nl-NL
notepad.exe
OCR
Offline Web Pages
Panther
PCHEALTH
Performance
PFRO.log
PLA
PolicyDefinitions
Prefetch
PrintDialog
Provisioning
pss
PurchaseDialog
regedit.exe
Registration
rescache
Resources
SchCache
schemas
security
ServiceProfiles
servicing
Setup
setupact.log
setuperr.log
ShellNew
SKB
SoftwareDistribution
Speech
Speech_OneCore
splwow64.exe
Sun
symbols
System
system.ini
System32
SystemApps
SystemResources

- C$  - (readable,writable)
  + Content of this share :
.appinventor
.oracle_jre_usage
.rnd
0
02dbe19f49e0de78eec7b5
1
1422914422__foxittemp.xml
1426283372_Reader_foxittemp.xml
1430675074_1544__foxittemp.xml
1445031452_1532__foxittemp.xml
197fee2dafc2d924c27c
337231d40a3be59ca8ec5305
401e8a544a37b0c258
433332
6
68f65419fdd1ee2edc
7
8
84998f8413358878c7e3decb6a
8a701832ede6b5cff3611f
95a68650461722dd7a40c146c0cb
a951389b76293588c5aa
apps
b99f4bea812f70371365
BOOTNXT
Config.Msi
Content
cygwin
cygwin64
d8ae5ee6591df1bbe6
dell
dell.sdr
Documents and Settings
Drivers
f826a855a227a0f920
found.000
found.001
FoxitPrinterProfile.xml
FoxitReaderPrinterProfile.xml
hiberfil.sys
inetpub
Intel
MSOCache
OneDriveTemp
Oracle
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
pt.2 of me
Python27
Python32
Recovery
Sun
swapfile.sys
System Volume Information
tmp
Users
VS_EXPBSLN_x64_enu.CAB
VS_EXPBSLN_x64_enu.MSI
Windows

"
"10396","CVE-1999-0520","","None","localhost","tcp","445","Microsoft Windows SMB Shares Access","It is possible to access a network share.","The remote has one or more Windows shares that can be accessed through
the network with the given credentials.

Depending on the share rights, it may allow an attacker to read /
write confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","","
The following shares can be accessed  :

- Users  - (readable,writable)
  + Content of this share :
..
Admin
Admin.LOG1
Admin.LOG2
All Users
AsiaSteve.LOG1
AsiaSteve.LOG2
Default
Default User
Default.migrated
DefaultAppPool
desktop.ini
Family
HomeAdministrator
Mcx1-ASIASTEVE-PC
Mcx1-ASIASTEVE-PC.LOG1
Mcx1-ASIASTEVE-PC.LOG2
Public
sshd
Steves Work

- ADMIN$  - (readable,writable)
  + Content of this share :
..
addins
appcompat
AppPatch
AppReadiness
assembly
avastSS.scr
bcastdvr
bfsvc.exe
Boot
bootstat.dat
Branding
CbsTemp
comsetup.log
Core.xml
csup.txt
Cursors
de
de-DE
debug
DesktopTileResources
DevicesFlow
diagerr.xml
diagnostics
diagwrn.xml
DigitalLocker
DirectX.log
Downloaded Program Files
DtcInstall.log
ehome
ELAMBKUP
en
en-US
explorer.exe
Fonts
fr
fr-FR
Globalization
Help
HelpPane.exe
hh.exe
iis.log
IME
ImmersiveControlPanel
INF
InfusedApps
InputMethod
Installer
it-IT
L2Schemas
LiveKernelReports
Logs
Media
mib.bin
Microsoft.NET
Migration
MiracastView
ModemLogs
msdfmap.ini
nl
nl-NL
notepad.exe
OCR
Offline Web Pages
Panther
PCHEALTH
Performance
PFRO.log
PLA
PolicyDefinitions
Prefetch
PrintDialog
Provisioning
pss
PurchaseDialog
regedit.exe
Registration
rescache
Resources
SchCache
schemas
security
ServiceProfiles
servicing
Setup
setupact.log
setuperr.log
ShellNew
SKB
SoftwareDistribution
Speech
Speech_OneCore
splwow64.exe
Sun
symbols
System
system.ini
System32
SystemApps
SystemResources

- C$  - (readable,writable)
  + Content of this share :
.appinventor
.oracle_jre_usage
.rnd
0
02dbe19f49e0de78eec7b5
1
1422914422__foxittemp.xml
1426283372_Reader_foxittemp.xml
1430675074_1544__foxittemp.xml
1445031452_1532__foxittemp.xml
197fee2dafc2d924c27c
337231d40a3be59ca8ec5305
401e8a544a37b0c258
433332
6
68f65419fdd1ee2edc
7
8
84998f8413358878c7e3decb6a
8a701832ede6b5cff3611f
95a68650461722dd7a40c146c0cb
a951389b76293588c5aa
apps
b99f4bea812f70371365
BOOTNXT
Config.Msi
Content
cygwin
cygwin64
d8ae5ee6591df1bbe6
dell
dell.sdr
Documents and Settings
Drivers
f826a855a227a0f920
found.000
found.001
FoxitPrinterProfile.xml
FoxitReaderPrinterProfile.xml
hiberfil.sys
inetpub
Intel
MSOCache
OneDriveTemp
Oracle
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
pt.2 of me
Python27
Python32
Recovery
Sun
swapfile.sys
System Volume Information
tmp
Users
VS_EXPBSLN_x64_enu.CAB
VS_EXPBSLN_x64_enu.MSI
Windows

"
"10400","","","None","localhost","tcp","445","Microsoft Windows SMB Registry Remotely Accessible","Access the remote Windows Registry.","It was possible to access the remote Windows Registry using the login
/ password combination used for the Windows local checks (SMB tests).","n/a","",""
